id;category;title;prompt_text;sort_order;created_at
4fb19c79-8d86-4e50-9a7a-7850a821d743;Psikotes;Latihan Deret Angka & Huruf;Buat 30 soal latihan deret angka dan deret huruf untuk persiapan tes psikologi kerja. Variasikan pola: deret aritmatika, geometri, fibonacci, deret dengan pola ganda, dan deret huruf dengan pola lompat. Urutkan dari mudah ke sulit. Sertakan jawaban dan penjelasan pola untuk setiap soal.;11;2026-02-21 02:59:30.027164+00
a7443532-88c5-4271-bfa7-0881aad26e02;Psikotes;Simulasi Tes DISC + Analisis;Simulasikan tes DISC dengan 28 set pertanyaan pilihan ganda (setiap set pilih 1 kata yang paling menggambarkan diri dan 1 yang paling tidak). Setelah aku menjawab, hitung skor D, I, S, C dan berikan: (1) profil kepribadian dominan saya, (2) kekuatan dan kelemahan dalam pekerjaan, (3) cara terbaik bekerja dalam tim, (4) pekerjaan yang cocok untuk profil ini.;12;2026-02-21 02:59:30.027164+00
70bc26e1-267d-4447-9c2c-fdc50867b7fa;Psikotes;Latihan Tes Numerik Cepat;Buat 25 soal latihan tes kemampuan numerik untuk psikotes kerja: campuran hitung cepat, persentase, rasio, proporsi, dan soal cerita singkat. Time constraint: maksimal 30 detik per soal. Sertakan strategi shortcut untuk menghitung cepat di setiap tipe soal. Urutkan dari yang paling sering muncul di psikotes perusahaan Indonesia.;13;2026-02-21 02:59:30.027164+00
f443b88f-6a29-4389-9f8f-2083aa5e6a4a;Psikotes;Panduan Menjawab TAT;Jelaskan cara menjawab Thematic Apperception Test (TAT) dengan baik dalam konteks seleksi kerja. Berikan: (1) struktur cerita yang ideal (awal-tengah-akhir), (2) tema-tema yang positif dan disukai HRD, (3) panjang cerita yang optimal, (4) kata kunci yang menunjukkan motivasi, problem-solving, dan achievement, (5) contoh narasi lengkap untuk 3 gambar TAT yang umum.;14;2026-02-21 02:59:30.027164+00
ed4344c5-63c4-4383-9cfe-335f4d76ee44;Psikotes;Simulasi Wawancara Psikologis;Simulasikan wawancara psikologis HRD dengan aku. Tanyakan 15 pertanyaan umum yang biasa muncul seperti: ceritakan tentang dirimu, apa kelemahan terbesarmu, bagaimana kamu menghadapi konflik di tempat kerja, di mana kamu melihat dirimu 5 tahun ke depan, dll. Setelah aku menjawab setiap pertanyaan, berikan feedback: apa yang bagus dari jawaban saya dan apa yang perlu diperbaiki.;15;2026-02-21 02:59:30.027164+00
2f141d20-9432-4d08-9feb-5dab7e39a997;Psikotes;Strategi MBTI/Big Five yang Strategis;Bantu aku mempersiapkan diri untuk tes kepribadian MBTI dan Big Five dalam seleksi kerja untuk posisi [tuliskan posisi yang kamu lamar]. Jelaskan: (1) profil kepribadian yang biasanya dicari untuk posisi ini, (2) cara menjawab secara jujur namun strategis tanpa berbohong, (3) pertanyaan-pertanyaan jebakan yang perlu diwaspadai, (4) konsistensi jawaban yang harus dijaga.;16;2026-02-21 02:59:30.027164+00
36b8d050-a3fa-4ba4-bde9-555a2ee633d5;Job Search;Email Lamaran yang Tidak Template;Tulis email lamaran kerja ke [nama perusahaan] untuk posisi [nama jabatan]. Background saya: [tuliskan 2-3 poin pengalaman/skill relevan]. Buat email yang: (1) tidak terasa template atau copy-paste, (2) hook pembuka yang langsung menarik perhatian HRD, (3) tunjukkan riset nyata tentang perusahaan, (4) nilai spesifik yang bisa aku berikan, (5) closing yang confident. Panjang: maksimal 200 kata.;17;2026-02-21 03:00:36.913587+00
09ed638e-e6cc-4bb2-b6b3-8d594d6172b0;Job Search;Research Perusahaan Pre-Interview;"Bantu aku riset [nama perusahaan] sebelum interview besok. Aku butuh: (1) bisnis model dan produk/layanan utama mereka, (2) berita terbaru (6 bulan terakhir), (3) kompetitor utama dan posisi mereka di pasar, (4) kultur dan values perusahaan, (5) pertanyaan interview yang mungkin spesifik tentang industri ini, (6) angle cerita tentang ""kenapa aku mau kerja di sini"" yang spesifik.";18;2026-02-21 03:00:36.913587+00
576acb80-3278-4df2-a014-08f2a7567390;Job Search;10 Pertanyaan Cerdas untuk Interviewer;Buat 10 pertanyaan cerdas yang bisa aku tanyakan ke interviewer di akhir sesi interview untuk posisi [nama jabatan] di [nama perusahaan/industri]. Pertanyaan harus: (1) menunjukkan riset mendalam tentang perusahaan, (2) menampilkan ambisi dan orientasi growth, (3) tidak menanyakan hal yang sudah ada di job description, (4) beberapa pertanyaan yang membuat interviewer berpikir.;19;2026-02-21 03:00:36.913587+00
edb24b52-2b88-464e-9eda-f0afa98083d4;Job Search;Follow-up Email Post-Interview;Tulis follow-up email yang akan aku kirim 24 jam setelah interview untuk posisi [nama jabatan] di [nama perusahaan]. Email harus: (1) berterima kasih tanpa terdengar memelas, (2) reference satu hal spesifik yang dibahas saat interview, (3) reinforce satu nilai unik yang bisa aku berikan, (4) buat CTA yang jelas tapi tidak agresif. Tone: profesional dan confident.;20;2026-02-21 03:00:36.913587+00
db025dd6-8011-42c1-8e3e-f28334dd7c77;Job Search;Cold Message ke HRD/Recruiter LinkedIn;Tulis cold message LinkedIn ke HRD atau recruiter di [nama perusahaan] untuk menanyakan peluang posisi [nama jabatan]. Buat 3 variasi: (1) jika ada lowongan yang sedang buka, (2) untuk speculative application (tidak ada lowongan terpublikasi), (3) untuk meminta informational interview. Setiap versi maksimal 150 karakter agar tidak terpotong di notifikasi.;21;2026-02-21 03:00:36.913587+00
c3a3b6b5-36fb-49ad-bfa9-7a7d78ee2896;Job Search;Script Negosiasi Gaji;"Aku menerima tawaran gaji [angka tawaran] untuk posisi [nama jabatan]. Target saya adalah [angka target]. Bantu aku dengan: (1) skrip percakapan lengkap untuk counter offer via telepon, (2) argumen berbasis data (market rate, pengalaman, value) yang bisa aku gunakan, (3) cara merespons jika mereka bilang ""tidak bisa lebih"", (4) non-salary benefits yang bisa aku negosiasikan sebagai alternatif.";22;2026-02-21 03:00:36.913587+00
93455dfa-c42a-4a6c-9a18-fc85f34747f3;Job Search;Email Penolakan Tawaran yang Sopan;Tulis email untuk menolak tawaran kerja dari [nama perusahaan] untuk posisi [nama jabatan] dengan alasan [tuliskan alasanmu: gaji, lokasi, culture fit, dll]. Email harus: (1) sopan dan tetap menghargai waktu interviewer, (2) tidak menutup pintu untuk peluang di masa depan, (3) tidak terlalu detail menjelaskan alasan, (4) menjaga hubungan profesional. Panjang: maksimal 100 kata.;23;2026-02-21 03:00:36.913587+00
e9db4b38-df22-47ba-b35d-3d0a242b0e4c;Job Search;LinkedIn Connection Request ke Senior;Tulis connection request message LinkedIn ke [senior/mentor/leader] di industri [nama industri] yang belum aku kenal sebelumnya. Variasikan untuk 3 situasi: (1) setelah melihat konten mereka yang menginspirasi, (2) setelah bertemu di event/webinar, (3) cold outreach murni. Setiap pesan maksimal 300 karakter, spesifik, dan tidak terasa spam.;24;2026-02-21 03:00:36.913587+00
c1c89d8d-eefd-4fa1-8a1e-7de47570da6c;Skill Development;Roadmap Belajar Skill Baru 3 Bulan;Buat roadmap belajar [nama skill/teknologi, misal: Excel lanjutan / Python untuk data / Figma] dari nol sampai level job-ready dalam 3 bulan. Format: minggu per minggu. Sertakan: (1) resources belajar spesifik (nama kursus, channel YouTube, buku), (2) project mini yang bisa jadi portofolio, (3) milestone yang bisa diukur per bulan, (4) cara membuktikan skill ini ke employer.;25;2026-02-21 03:00:36.913587+00
5bab9a81-4cfb-4aac-9651-77f62e52ace2;Skill Development;Ide Portofolio Project untuk CV;Aku melamar posisi [nama jabatan] di industri [nama industri]. Bantu aku buat 5 ide portofolio project yang: (1) relevan dengan kebutuhan industri saat ini, (2) bisa diselesaikan dalam [1 minggu / 1 bulan], (3) cukup impressive untuk dicantumkan di CV, (4) menunjukkan problem-solving skill nyata. Untuk setiap ide, berikan: judul project, tools yang digunakan, dan cara mempresentasikannya.;26;2026-02-21 03:00:36.913587+00
662fd57e-bbc5-4b7d-9ba6-8afc0ea3c261;Skill Development;5 Sertifikasi Paling Bernilai;Rekomendasikan 5 sertifikasi profesional yang paling bernilai dan paling dicari employer untuk karier di bidang [nama industri/bidang]. Untuk setiap sertifikasi berikan: (1) nama sertifikasi dan lembaga penerbit, (2) estimasi biaya dan waktu persiapan, (3) tingkat kesulitan (1-5), (4) seberapa sering muncul di job posting, (5) apakah ada versi gratis atau murah untuk belajarnya.;27;2026-02-21 03:00:36.913587+00
5aedbd8d-6fbc-4b57-b7c3-21f36a5fd8c4;Skill Development;Latihan Public Speaking 5 Menit;Bantu aku mempersiapkan presentasi public speaking 5 menit tentang topik [tuliskan topikmu]. Buat: (1) outline presentasi dengan pembagian waktu (hook 30 detik, isi 3,5 menit, closing 1 menit), (2) skrip lengkap yang bisa aku latih, (3) 3 teknik delivery (eye contact, pace, gesture) yang perlu aku perhatikan, (4) tips mengatasi nervous sebelum tampil, (5) cara membuka yang langsung menarik perhatian.;28;2026-02-21 03:00:36.913587+00
b3c05728-675c-4ee9-af1a-e1f0e5f2e7cb;Skill Development;Kurikulum Excel/Sheets untuk Data Analyst;"Buat kurikulum belajar Excel dan Google Sheets secara komprehensif dari level basic hingga advance untuk persiapan karier sebagai Data Analyst. Bagi menjadi 4 level: (1) Basic — formula dasar, formatting; (2) Intermediate — VLOOKUP, pivot table, conditional formatting; (3) Advanced — macro, power query, data modeling; (4) Expert — dashboard interaktif, automation. Sertakan exercise untuk setiap level.";29;2026-02-21 03:00:36.913587+00
e63b84aa-1d68-4b6a-897a-078860e57645;Skill Development;Belajar Programming dengan Project Mini;Aku ingin mempelajari [nama bahasa pemrograman: Python/JavaScript/SQL] mulai dari nol. Buat kurikulum 4 minggu dengan pendekatan project-based learning. Setiap minggu ada 1 project mini yang relevan dengan industri kerja nyata. Week 1: konsep dasar. Week 2-3: core concepts dengan project. Week 4: project final yang bisa masuk portofolio. Berikan resources belajar gratis yang spesifik.;30;2026-02-21 03:00:36.913587+00
83a11425-7981-4063-a306-351e7898ce37;Skill Development;30 Hari Latihan Business Email Inggris;Buat program 30 hari latihan menulis business email formal dalam Bahasa Inggris. Setiap hari ada 1 skenario email yang harus ditulis (dengan konteks yang diberikan). Skenario mencakup: permintaan meeting, follow-up, complaint handling, thank you note, proposal, rejection letter, dll. Untuk setiap hari, berikan juga 1 vocabulary/phrase profesional baru dan tips tata bahasa yang sering salah.;31;2026-02-21 03:00:36.913587+00
63c837ed-b27f-4efa-8f14-b95a9ddf59ab;Skill Development;Framework Problem Solving McKinsey/BCG;Ajarkan aku teknik problem solving yang digunakan konsultan McKinsey dan BCG, khususnya framework MECE (Mutually Exclusive, Collectively Exhaustive). Sertakan: (1) penjelasan MECE dengan contoh nyata, (2) issue tree / logic tree untuk membreak down masalah kompleks, (3) hypothesis-driven approach dalam analisis, (4) cara membuat executive summary yang clear, (5) latihan kasus dengan soal dan pembahasan.;32;2026-02-21 03:00:36.913587+00
921b2208-d3dd-462c-bc1b-a21f2b3a7513;Onboarding;Rencana 30-60-90 Hari Pertama;"Buat rencana kerja 30-60-90 hari pertama untuk posisi baru saya sebagai [nama jabatan] di [nama perusahaan/industri]. Rencana harus mencakup: Bulan 1 (Learn) — memahami kultur, sistem, dan stakeholder; Bulan 2 (Contribute) — mulai deliver nilai nyata; Bulan 3 (Lead) — inisiatif dan ownership. Berikan target spesifik yang bisa diukur untuk setiap fase.";33;2026-02-21 03:02:08.885745+00
37735a5c-ac1d-4f83-b697-3c21a549598a;Onboarding;Email Perkenalan ke Tim Baru;Tulis email perkenalan diri ke seluruh tim/departemen di hari pertama kerja saya sebagai [nama jabatan]. Email harus: (1) hangat dan autentik, bukan kaku template, (2) ceritakan sedikit background profesional yang relevan, (3) tunjukkan antusias tapi tidak berlebihan, (4) ajak kolaborasi secara natural, (5) tutup dengan cara yang membuka percakapan lanjutan. Panjang: 150-200 kata.;34;2026-02-21 03:02:08.885745+00
e85279fd-3bad-4c86-8487-ce6e77c57132;Onboarding;Panduan Membaca Kontrak Kerja;Bantu aku memahami kontrak kerja yang akan aku tanda tangani. Jelaskan poin-poin kritis yang harus aku perhatikan: (1) klausul non-compete dan dampaknya, (2) ketentuan probation dan apa yang terjadi jika gagal, (3) skema bonus dan kondisinya, (4) jam kerja vs overtime, (5) klausul PHK dan uang pesangon, (6) intellectual property atas karya yang dibuat selama bekerja, (7) red flags yang menunjukkan kontrak tidak adil.;35;2026-02-21 03:02:08.885745+00
d1ba156a-b28d-4e2c-b156-b163dc595541;Onboarding;Pertanyaan yang Wajib Ditanyakan di Minggu Pertama;Buat daftar 20 pertanyaan yang wajib aku tanyakan di minggu pertama kerja sebagai [nama jabatan]. Kategorikan berdasarkan: (1) pertanyaan ke atasan langsung tentang ekspektasi dan prioritas, (2) pertanyaan ke rekan tim tentang workflow dan tools, (3) pertanyaan ke HRD tentang benefit dan prosedur, (4) pertanyaan ke diri sendiri (reflection checklist). Untuk setiap pertanyaan, jelaskan kenapa penting ditanyakan.;36;2026-02-21 03:02:08.885745+00
dca4ea35-e31c-4e3d-a2de-3af6e0b7e3a0;Onboarding;Laporan Progress Minggu Pertama;Bantu aku menulis laporan progress minggu pertama kerja untuk atasan langsung saya. Aku perlu menyampaikan: [tuliskan apa saja yang sudah kamu lakukan, pelajari, dan temukan di minggu pertama]. Format laporan: (1) ringkasan apa yang sudah dipelajari, (2) progress onboarding, (3) pertanyaan/klarifikasi yang masih dibutuhkan, (4) rencana minggu depan. Tone: proaktif dan organized.;37;2026-02-21 03:02:08.885745+00
58ab6a21-adc6-461f-aa15-0efc454056ab;Onboarding;Membangun Kredibilitas dalam 90 Hari;Jelaskan strategi membangun credibility dan trust di lingkungan kerja baru dalam 90 hari pertama untuk posisi [nama jabatan]. Sertakan: (1) quick wins yang bisa dilakukan di 30 hari pertama tanpa stepping on toes, (2) cara membangun relationships dengan stakeholder kunci, (3) bagaimana menunjukkan value tanpa terlihat show-off, (4) cara handle jika membuat kesalahan di awal, (5) tanda-tanda kalau kamu sudah diterima oleh tim.;38;2026-02-21 03:02:08.885745+00
bfd8a289-3b6f-4b34-82df-0bad8acdfb22;Onboarding;Script Networking di Hari Pertama Kantor;Buat script percakapan untuk kenalan dan networking di hari pertama masuk kantor. Skenario: (1) perkenalan ke rekan sebelahan meja, (2) perkenalan saat makan siang dengan tim, (3) perkenalan ke orang senior yang baru pertama bertemu di lift/koridor, (4) percakapan ringan di pantry/dapur kantor. Untuk setiap skenario, berikan: opening line, pertanyaan follow-up yang natural, dan cara menutup percakapan dengan kesan baik.;39;2026-02-21 03:02:08.885745+00
2c1e8f5a-3fa8-41a9-8bd7-97e7137fd80b;Digital Marketing;Strategi Konten 30 Hari;Buat strategi konten media sosial lengkap selama 30 hari untuk brand [nama brand] di industri [nama industri]. Target audience: [deskripsikan target audiensmu]. Sertakan: (1) content pillars (3-5 tema utama), (2) mix format konten (carousel, video, story, dll) dengan persentase, (3) frekuensi posting per platform, (4) tone of voice yang konsisten, (5) calendar publishing lengkap 30 hari dengan topik spesifik per hari.;40;2026-02-21 03:02:08.885745+00
d9b21013-9967-4cd6-ab75-2d603c2c311d;Digital Marketing;5 Variasi Caption Instagram Engaging;Tulis 5 variasi caption Instagram yang engaging untuk [deskripsikan produk/konten yang akan diposting]. Setiap variasi harus berbeda pendekatan: (1) storytelling personal, (2) educational/tips, (3) question-based untuk boost comment, (4) social proof/testimonial style, (5) humor atau relatable. Sertakan CTA yang natural di setiap caption dan rekomendasi 10 hashtag yang relevan.;41;2026-02-21 03:02:08.885745+00
88d35b8a-26c1-4a1f-ae9a-23bc47fff626;Digital Marketing;Copy Iklan Meta Ads dengan Hook Kuat;Buat copy iklan Meta Ads (Facebook/Instagram) untuk [produk/jasa: deskripsikan singkat]. Target audience: [tuliskan demographi dan pain point]. Buat 3 variasi ad copy dengan hook yang berbeda: (1) pain-point hook, (2) curiosity hook, (3) social proof hook. Setiap variasi: primary text (125 karakter), headline (40 karakter), description (30 karakter). Sertakan juga CTA yang paling sesuai.;42;2026-02-21 03:02:08.885745+00
502ef5f0-9ce8-4e84-a08e-a7e476c485b2;Digital Marketing;Optimasi Kampanye Facebook Ads yang Tidak Perform;Bantu aku menganalisis dan mengoptimasi kampanye Facebook Ads yang tidak perform. Data kampanye saya: [masukkan: CTR, CPC, CPM, ROAS, audience size, budget, dan creative yang digunakan]. Berikan: (1) diagnosis masalah berdasarkan data, (2) prioritas optimasi dari yang paling impactful, (3) testing strategy untuk creative baru, (4) audience refinement yang disarankan, (5) red flags yang harus segera diatasi.;43;2026-02-21 03:02:08.885745+00
6362f664-7aff-4eea-96ef-de24948c0961;Digital Marketing;Email Marketing Campaign + A/B Test Subject Line;Buat email marketing campaign untuk peluncuran produk baru: [deskripsikan produkmu]. Campaign terdiri dari 3 email: (1) Teaser email 3 hari sebelum launch, (2) Launch email di hari H, (3) Last chance email 2 hari setelah launch. Untuk setiap email: subject line dengan 3 variasi A/B test, preview text, struktur body email, dan CTA. Sertakan estimasi benchmark open rate yang realistis.;44;2026-02-21 03:02:08.885745+00
5b98ea85-5b49-4502-9d0f-9060d0788541;Digital Marketing;Script Video TikTok 60 Detik;Tulis script video TikTok 60 detik untuk promosi [produk/jasa: deskripsikan singkat] menggunakan teknik storytelling. Struktur: hook 3 detik pertama yang super kuat, masalah yang relatable (10 detik), solusi/produk (30 detik), social proof singkat (10 detik), CTA yang clear (7 detik). Sertakan juga: rekomendasi visual/shot untuk setiap bagian, sound suggestion, dan caption dengan hashtag.;45;2026-02-21 03:02:08.885745+00
a0e4081f-12b1-4d3d-872d-49480201b998;Digital Marketing;Content Pillar & Editorial Calendar LinkedIn;Bantu aku membangun content pillar dan editorial calendar untuk personal branding di LinkedIn sebagai [tuliskan profesi/expertise kamu]. Tentukan: (1) 4-5 content pillars yang memposisikan aku sebagai expert, (2) mix konten: thought leadership, tips praktis, behind the scenes, engagement post, (3) template posting schedule (berapa kali seminggu, jam berapa), (4) 10 ide konten spesifik untuk bulan pertama yang siap ditulis.;46;2026-02-21 03:02:08.885745+00
6faee7d4-08ea-4d87-a9fd-2d4fda5bc301;Digital Marketing;Analisis Kompetitor & Strategi Diferensiasi;Analisis strategi konten media sosial kompetitor [nama brand atau deskripsikan kompetitormu] dan rekomendasikan strategi diferensiasi untuk brand-ku [deskripsikan brand-mu]. Analisis kompetitor: (1) tipe konten yang mereka buat, (2) engagement rate rata-rata, (3) tone of voice, (4) kelemahan konten mereka. Rekomendasi diferensiasi: (1) angle unik yang belum digarap kompetitor, (2) format konten yang bisa jadi signature, (3) positioning messaging yang distinctive.;47;2026-02-21 03:02:08.885745+00
04a414c2-5ae2-4d5d-810b-ce8a76ae7914;Research & Riset;Riset Industri Komprehensif Indonesia 2025;Buat laporan riset komprehensif tentang industri [nama industri] di Indonesia tahun 2025. Cakupan: (1) ukuran pasar dan proyeksi pertumbuhan, (2) pemain utama dan market share, (3) tren teknologi yang mengubah industri, (4) regulasi pemerintah terbaru yang relevan, (5) peluang dan ancaman terbesar (SWOT), (6) skills yang paling dibutuhkan dalam industri ini sekarang, (7) prediksi 3-5 tahun ke depan.;48;2026-02-21 03:02:08.885745+00
e0cefc6f-9eac-489f-9742-7a2693f9236b;Research & Riset;Analisis Job Description & Keyword ATS;Analisis job description berikut dan identifikasi semua keyword ATS yang wajib ada di CV saya: [paste job description di sini]. Berikan: (1) daftar hard skills yang disebutkan (urutkan dari yang paling sering disebut), (2) soft skills yang tersirat, (3) tools/software spesifik yang dicantumkan, (4) keyword phrase yang harus muncul verbatim di CV, (5) rekomendasi bagian CV mana yang harus dioptimasi untuk JD ini.;49;2026-02-21 03:02:08.885745+00
31368da3-405e-447b-a4d0-7043937b8afd;Research & Riset;Riset Gaji Pasar untuk Negosiasi;Bantu aku riset gaji pasar untuk posisi [nama jabatan] di [kota] untuk perusahaan skala [startup/SME/korporat/MNC]. Sertakan: (1) range gaji berdasarkan level (fresh grad, 2-3 tahun, 5+ tahun pengalaman), (2) benefit non-gaji yang umum di industri ini, (3) faktor yang bisa meningkatkan nilai tawarku (sertifikasi, pengalaman spesifik), (4) cara memvalidasi angka yang diberikan HRD, (5) data source yang bisa aku cross-check sendiri.;50;2026-02-21 03:02:08.885745+00
ebe39586-47a7-4220-8df5-70bf57e8b083;Research & Riset;Deep Dive Kultur Perusahaan;Bantu aku riset kultur perusahaan [nama perusahaan] secara mendalam sebelum interview. Panduan riset: (1) hal yang perlu dicari di Glassdoor (dan cara membaca ulasan dengan kritis), (2) sinyal kultur dari LinkedIn company page dan postingan karyawannya, (3) cara membaca berita perusahaan untuk mendeteksi red flags, (4) pertanyaan yang bisa ditanyakan ke karyawan yang sudah resign, (5) cara menilai kultur dari cara mereka melakukan interview.;51;2026-02-21 03:02:08.885745+00
a6fa9695-b033-4a9b-a527-c6ecbcfd2cdd;Research & Riset;Perbandingan Dua Perusahaan;Buat perbandingan komprehensif antara [Perusahaan A] dan [Perusahaan B] dari perspektif calon karyawan. Bandingkan: (1) kultur dan work-life balance berdasarkan ulasan publik, (2) kompensasi dan benefit (jika ada data publik), (3) peluang growth dan career path, (4) stabilitas perusahaan (finansial, pertumbuhan headcount), (5) reputasi di industri, (6) rekomendasi: mana yang lebih cocok jika prioritasku adalah [tuliskan prioritasmu].;52;2026-02-21 03:02:08.885745+00
0c23d40f-837b-4ccd-aae1-49f971b692a8;Research & Riset;Analisis Skill Gap dari Job Description;Identifikasi skill gap antara profil saya dan job description ini. Profil saya: [tuliskan pengalaman dan skill yang kamu miliki]. Job description: [paste JD]. Berikan: (1) tabel skill yang match vs skill yang kurang, (2) prioritas skill gap yang perlu segera diisi (berdasarkan seberapa kritis di JD), (3) estimasi waktu untuk mengisi setiap gap, (4) cara menyampaikan skill gap ini secara jujur namun positif saat interview.;53;2026-02-21 03:02:08.885745+00
87809a1b-42a5-4116-9da6-757a6f0e02c4;Research & Riset;"Riset Industri untuk ""Kenapa Mau Kerja di Sini""";"Bantu aku riset industri [nama industri] dan perusahaan [nama perusahaan] untuk mempersiapkan jawaban interview ""kenapa kamu mau kerja di sini?"" dan ""kenapa industri ini?"". Berikan: (1) 3 fakta menarik tentang industri yang bisa aku sebutkan, (2) 2-3 hal spesifik tentang perusahaan yang menunjukkan risetku mendalam, (3) cara menghubungkan passion/tujuan karierku dengan misi perusahaan, (4) template jawaban 90 detik yang bisa aku personalisasi.";54;2026-02-21 03:02:08.885745+00
ef532ce3-0bc5-4922-bfc0-5abe5b16930d;Research & Riset;Pertanyaan Riset Pre-Interview Startup;Buat daftar pertanyaan riset mendalam yang harus aku jawab sebelum interview di startup tahap [seed / series A / series B / pre-IPO]. Pertanyaan mencakup: (1) health finansial perusahaan (runway, investor, last funding round), (2) traction dan growth metrics yang bisa dilihat publik, (3) tim founding dan track record mereka, (4) kompetitor dan differentiasi produk, (5) red flags yang perlu diwaspadai di setiap stage funding, (6) pertanyaan yang layak ditanyakan ke interviewer tentang bisnis model.;55;2026-02-21 03:02:08.885745+00
